antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9",Koľko dní ste počas minulého týždňa venovali nenáročnej fyzickej aktivite? =7 & SLEEP_CAT=HIGH_>=9,0.2222222222222222,0.1794871794871795,0.13675213675213677,0.6153846153846155,3.4285714285714293,1.0,0.09686609686609687,2.133333333333334,0.9107142857142857,0.5161290322580646,0.5312500000000001,0.6886446886446888
"Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9",Koľkokrát do týždňa využívate verejný bicykel na cestu do školy?=0 & SLEEP_CAT=HIGH_>=9,0.2222222222222222,0.2905982905982906,0.20512820512820512,0.9230769230769231,3.176470588235294,1.0,0.14055080721747387,9.222222222222227,0.8809523809523809,0.6666666666666667,0.8915662650602411,0.8144796380090498
"Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=10","Fajčili ste v minulosti? (1-každý deň, 2-niekedy, 0-nie)=0 & SLEEP_CAT=HIGH_>=9",0.1282051282051282,0.29914529914529914,0.11965811965811966,0.9333333333333335,3.1200000000000006,1.0,0.08130615822923516,10.512820512820532,0.7794117647058824,0.38888888888888895,0.9048780487804882,0.6666666666666667
"Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9","Pohlavie (1-žena, 0-muž)=1 & SLEEP_CAT=HIGH_>=9",0.2222222222222222,0.20512820512820512,0.13675213675213677,0.6153846153846155,3.000000000000001,1.0,0.09116809116809119,2.0666666666666678,0.8571428571428572,0.47058823529411775,0.5161290322580646,0.6410256410256412
"Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9","Pracujete popri štúdiu? (1 - áno, 0 - nie)=0 & SLEEP_CAT=HIGH_>=9",0.2222222222222222,0.2564102564102564,0.17094017094017094,0.7692307692307693,3.0000000000000004,1.0,0.11396011396011396,3.2222222222222228,0.8571428571428571,0.5555555555555557,0.6896551724137931,0.7179487179487181
"Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9","SLEEP_CAT=HIGH_>=9 & Som motivovaný vykonávať fyzickú aktivitu? (1- úplne súhlasím, 2-súhlasím, 3-neutrálny postoj, 4-nesúhlasím, 5- úplne nesúhlasím)=1",0.2222222222222222,0.2564102564102564,0.17094017094017094,0.7692307692307693,3.0000000000000004,1.0,0.11396011396011396,3.2222222222222228,0.8571428571428571,0.5555555555555557,0.6896551724137931,0.7179487179487181
"Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9","Je dôležitá fyzická aktivita pre zdravie? (1- úplne súhlasím, 2-súhlasím, 3-neutrálny postoj, 4-nesúhlasím, 5- úplne nesúhlasím)=1 & SLEEP_CAT=HIGH_>=9",0.2222222222222222,0.3247863247863248,0.21367521367521367,0.9615384615384616,2.9605263157894735,1.0,0.14150047483380818,17.555555555555568,0.8514285714285714,0.641025641025641,0.9430379746835442,0.8097165991902834
"Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9",Koľkokrát do týždňa využívate vlastný bicykel na cestu do školy?=0 & SLEEP_CAT=HIGH_>=9,0.2222222222222222,0.3162393162393162,0.20512820512820512,0.9230769230769231,2.9189189189189193,1.0,0.13485280151946819,8.888888888888895,0.8452380952380952,0.6153846153846154,0.8875000000000001,0.7858627858627859
"Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9",Koľkokrát do týždňa využívate súkromnú dopravu na cestu do školy?=0 & SLEEP_CAT=HIGH_>=9,0.2222222222222222,0.23931623931623933,0.15384615384615385,0.6923076923076924,2.8928571428571432,1.0,0.10066476733143401,2.4722222222222228,0.8412698412698413,0.5,0.5955056179775282,0.6675824175824177
"Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9","Fajčíte? (1-každý deň, 2-niekedy, 0-nie)=0 & SLEEP_CAT=HIGH_>=9",0.2222222222222222,0.3076923076923077,0.19658119658119658,0.8846153846153847,2.875,1.0,0.1282051282051282,6.0000000000000036,0.8385093167701864,0.5897435897435896,0.8333333333333335,0.7617521367521367
