support,itemsets
0.23076923076923078,"frozenset({'Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=7'})"
0.3162393162393162,"frozenset({'Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=8'})"
0.2222222222222222,"frozenset({'Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9'})"
0.29914529914529914,"frozenset({'Ako často konzumujete alkohol? (0-nikdy, 1-raz za týždeň, 2-raz za mesiac, 3-výnimočne)=1'})"
0.27350427350427353,"frozenset({'Ako často konzumujete alkohol? (0-nikdy, 1-raz za týždeň, 2-raz za mesiac, 3-výnimočne)=2'})"
0.3076923076923077,"frozenset({'Ako často konzumujete alkohol? (0-nikdy, 1-raz za týždeň, 2-raz za mesiac, 3-výnimočne)=3'})"
0.7948717948717948,"frozenset({'Fajčili ste v minulosti? (1-každý deň, 2-niekedy, 0-nie)=0'})"
0.8803418803418803,"frozenset({'Fajčíte? (1-každý deň, 2-niekedy, 0-nie)=0'})"
0.905982905982906,"frozenset({'Je dôležitá fyzická aktivita pre zdravie? (1- úplne súhlasím, 2-súhlasím, 3-neutrálny postoj, 4-nesúhlasím, 5- úplne nesúhlasím)=1'})"
0.24786324786324787,frozenset({'Koľko dní ste počas minulého týždňa venovali mierne náročnej fyzickej aktivite? =0'})
0.17094017094017094,frozenset({'Koľko dní ste počas minulého týždňa venovali mierne náročnej fyzickej aktivite? =1'})
0.23931623931623933,frozenset({'Koľko dní ste počas minulého týždňa venovali mierne náročnej fyzickej aktivite? =2'})
0.6068376068376068,frozenset({'Koľko dní ste počas minulého týždňa venovali nenáročnej fyzickej aktivite? =7'})
0.17094017094017094,"frozenset({'Koľko dní ste počas minulého týždňa venovali náročnej fyzickej aktivite? (heavylifting, vysoké tempo pri behu alebo bicyklovaní)=0'})"
0.1623931623931624,"frozenset({'Koľko dní ste počas minulého týždňa venovali náročnej fyzickej aktivite? (heavylifting, vysoké tempo pri behu alebo bicyklovaní)=2'})"
0.18803418803418803,"frozenset({'Koľko dní ste počas minulého týždňa venovali náročnej fyzickej aktivite? (heavylifting, vysoké tempo pri behu alebo bicyklovaní)=3'})"
0.2222222222222222,"frozenset({'Koľko dní ste počas minulého týždňa venovali náročnej fyzickej aktivite? (heavylifting, vysoké tempo pri behu alebo bicyklovaní)=4'})"
0.39316239316239315,frozenset({'Koľko hodín týždenne robíte fyzickú aktivitu=0'})
0.7863247863247863,frozenset({'Koľko hodín týždenne robíte neplatenú prácu popri štúdiu=0'})
0.23076923076923078,frozenset({'Koľko hodín v priemere spíte cez pracovný deň?=7'})
0.3162393162393162,frozenset({'Koľko hodín v priemere spíte cez pracovný deň?=8'})
0.2222222222222222,frozenset({'Koľko hodín v priemere spíte cez pracovný deň?=9'})
0.39316239316239315,frozenset({'Koľko hodín v priemere spíte cez víkendový deň?=8'})
0.29914529914529914,frozenset({'Koľko hodín v priemere spíte cez víkendový deň?=9'})
0.1623931623931624,frozenset({'Koľko km je od Vášho domu ku fakulte?=1'})
0.3076923076923077,"frozenset({'Koľko minút ste počas minulého týždňa venovali mierne náročnej fyzickej aktivite? ∈(-0.001, 30.0]'})"
0.23931623931623933,"frozenset({'Koľko minút ste počas minulého týždňa venovali mierne náročnej fyzickej aktivite? ∈(120.0, 660.0]'})"
0.2222222222222222,"frozenset({'Koľko minút ste počas minulého týždňa venovali mierne náročnej fyzickej aktivite? ∈(30.0, 60.0]'})"
0.23076923076923078,"frozenset({'Koľko minút ste počas minulého týždňa venovali mierne náročnej fyzickej aktivite? ∈(60.0, 120.0]'})"
0.2564102564102564,"frozenset({'Koľko minút ste počas minulého týždňa venovali nenáročnej fyzickej aktivite? ∈(-0.001, 20.0]'})"
0.26495726495726496,"frozenset({'Koľko minút ste počas minulého týždňa venovali nenáročnej fyzickej aktivite? ∈(20.0, 50.0]'})"
0.3504273504273504,"frozenset({'Koľko minút ste počas minulého týždňa venovali nenáročnej fyzickej aktivite? ∈(50.0, 120.0]'})"
0.46153846153846156,"frozenset({'Koľko minút ste počas minulého týždňa venovali náročnej fyzickej aktivite? (heavylifting, vysoké tempo pri behu alebo bicyklovaní)∈(-0.001, 60.0]'})"
0.2222222222222222,"frozenset({'Koľko minút ste počas minulého týždňa venovali náročnej fyzickej aktivite? (heavylifting, vysoké tempo pri behu alebo bicyklovaní)∈(120.0, 1200.0]'})"
0.1794871794871795,"frozenset({'Koľko minút ste počas minulého týždňa venovali náročnej fyzickej aktivite? (heavylifting, vysoké tempo pri behu alebo bicyklovaní)∈(60.0, 90.0]'})"
0.23931623931623933,"frozenset({'Koľko minút ste strávili sedením za posledných 7 dní?∈(17.999, 255.0]'})"
0.38461538461538464,"frozenset({'Koľko minút ste strávili sedením za posledných 7 dní?∈(255.0, 420.0]'})"
0.23076923076923078,"frozenset({'Koľko minút ste strávili sedením za posledných 7 dní?∈(540.0, 10000.0]'})"
0.4358974358974359,frozenset({'Koľkokrát do týždňa využívate chôdzu na cestu do školy?=0'})
0.2222222222222222,frozenset({'Koľkokrát do týždňa využívate chôdzu na cestu do školy?=10'})
0.6752136752136753,frozenset({'Koľkokrát do týždňa využívate súkromnú dopravu na cestu do školy?=0'})
0.42735042735042733,frozenset({'Koľkokrát do týždňa využívate verejnú dopravu na cestu do školy?=0'})
0.8461538461538461,frozenset({'Koľkokrát do týždňa využívate verejný bicykel na cestu do školy?=0'})
0.8974358974358975,frozenset({'Koľkokrát do týždňa využívate vlastný bicykel na cestu do školy?=0'})
