support,itemsets
0.1282051282051282,"frozenset({'Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=10'})"
0.23076923076923078,"frozenset({'Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=7'})"
0.3162393162393162,"frozenset({'Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=8'})"
0.2222222222222222,"frozenset({'Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9'})"
0.11965811965811966,"frozenset({'Ako často konzumujete alkohol? (0-nikdy, 1-raz za týždeň, 2-raz za mesiac, 3-výnimočne)=0'})"
0.29914529914529914,"frozenset({'Ako často konzumujete alkohol? (0-nikdy, 1-raz za týždeň, 2-raz za mesiac, 3-výnimočne)=1'})"
0.27350427350427353,"frozenset({'Ako často konzumujete alkohol? (0-nikdy, 1-raz za týždeň, 2-raz za mesiac, 3-výnimočne)=2'})"
0.3076923076923077,"frozenset({'Ako často konzumujete alkohol? (0-nikdy, 1-raz za týždeň, 2-raz za mesiac, 3-výnimočne)=3'})"
0.7948717948717948,"frozenset({'Fajčili ste v minulosti? (1-každý deň, 2-niekedy, 0-nie)=0'})"
0.1282051282051282,"frozenset({'Fajčili ste v minulosti? (1-každý deň, 2-niekedy, 0-nie)=2'})"
0.8803418803418803,"frozenset({'Fajčíte? (1-každý deň, 2-niekedy, 0-nie)=0'})"
0.905982905982906,"frozenset({'Je dôležitá fyzická aktivita pre zdravie? (1- úplne súhlasím, 2-súhlasím, 3-neutrálny postoj, 4-nesúhlasím, 5- úplne nesúhlasím)=1'})"
0.24786324786324787,frozenset({'Koľko dní ste počas minulého týždňa venovali mierne náročnej fyzickej aktivite? =0'})
0.17094017094017094,frozenset({'Koľko dní ste počas minulého týždňa venovali mierne náročnej fyzickej aktivite? =1'})
0.23931623931623933,frozenset({'Koľko dní ste počas minulého týždňa venovali mierne náročnej fyzickej aktivite? =2'})
0.11965811965811966,frozenset({'Koľko dní ste počas minulého týždňa venovali mierne náročnej fyzickej aktivite? =3'})
0.1282051282051282,frozenset({'Koľko dní ste počas minulého týždňa venovali nenáročnej fyzickej aktivite? =5'})
0.6068376068376068,frozenset({'Koľko dní ste počas minulého týždňa venovali nenáročnej fyzickej aktivite? =7'})
0.17094017094017094,"frozenset({'Koľko dní ste počas minulého týždňa venovali náročnej fyzickej aktivite? (heavylifting, vysoké tempo pri behu alebo bicyklovaní)=0'})"
0.10256410256410256,"frozenset({'Koľko dní ste počas minulého týždňa venovali náročnej fyzickej aktivite? (heavylifting, vysoké tempo pri behu alebo bicyklovaní)=1'})"
0.1623931623931624,"frozenset({'Koľko dní ste počas minulého týždňa venovali náročnej fyzickej aktivite? (heavylifting, vysoké tempo pri behu alebo bicyklovaní)=2'})"
0.18803418803418803,"frozenset({'Koľko dní ste počas minulého týždňa venovali náročnej fyzickej aktivite? (heavylifting, vysoké tempo pri behu alebo bicyklovaní)=3'})"
0.2222222222222222,"frozenset({'Koľko dní ste počas minulého týždňa venovali náročnej fyzickej aktivite? (heavylifting, vysoké tempo pri behu alebo bicyklovaní)=4'})"
0.39316239316239315,frozenset({'Koľko hodín týždenne robíte fyzickú aktivitu=0'})
0.7863247863247863,frozenset({'Koľko hodín týždenne robíte neplatenú prácu popri štúdiu=0'})
0.11965811965811966,frozenset({'Koľko hodín v priemere spíte cez víkendový deň?=10'})
